Timestamp,Language,P1Q1,P1Q2,P1Q3,P2Q1,P2Q2,P2Q3,P3Q1,P3Q2,P3Q3,P4Q1,P4Q2,P4Q3,Overall,Comment,,,,,,,,,,,,,,
3/27/2020 11:57:24,Thai,3,2,5,5,1,4,3,3,3,4,4,4,8,- กด Refresh ไม่ควรทำให้หลุดออกจากหน้าที่ใช้งานอยู่ - Error Dialog ไม่มีคำอธิบาย - File ส่งผิดควรลบได้ - ไม่ควรใช้ Leave Warning พร่ำเพรื่อ - ดีตรงใช้ง่ายกว่า Blackboard,,,,,,,,,,,,,,
3/27/2020 11:59:16,English,3,4,3,3,2,4,3,3,3,2,4,3,8,"my internet is not quite good for watching video on courseville some professor post their recording on mcv so can you improve on video streaming in mcv, i press on 240p and it just loading, the worse quality is 360p that can run, maybe it is just me but this is just a suggestion ",,,,,,,,,,,,,,
3/27/2020 12:10:42,Thai,1,5,1,2,4,3,3,5,3,2,4,1,2,,,,,,,,,,,,,,,
3/27/2020 12:10:52,Thai,2,4,4,2,3,3,4,3,4,3,3,3,5,,,,,,,,,,,,,,,
3/27/2020 12:18:25,Thai,3,4,4,4,4,3,2,4,5,3,5,2,10," อยากให้แก้ไฟล์ที่ส่งไปแล้วได้ หรือลบไฟล์ที่เคยส่งไปแล้วออกไป, อยากให้สามารถกด “ย้อนกลับ” ของหน้าเว็บได้ เพื่อกกลับไปยังหน้าก่อนหน้านี้, ",,,,,,,,,,,,,,
3/27/2020 12:22:37,English,4,1,4,5,1,4,5,1,5,5,1,4,8,,,,,,,,,,,,,,,
3/27/2020 12:35:20,Thai,3,2,4,2,4,4,5,1,4,5,5,4,8,,,,,,,,,,,,,,,
3/27/2020 12:41:28,English,4,1,4,4,1,4,5,1,4,4,2,4,9,"Some assignment that are assign by aj were hard to understand since aj provide very little information. Also the 20mb limit for the submission is a little bit too little. But overall, mcv is the best platform for me to use compare to moodle or blackboard",,,,,,,,,,,,,,
3/27/2020 12:44:24,Thai,3,3,4,2,5,3,5,5,5,4,3,4,8,,,,,,,,,,,,,,,
3/27/2020 12:59:55,English,2,4,5,2,5,5,1,4,5,5,5,5,7,,,,,,,,,,,,,,,
3/27/2020 13:03:25,Thai,2,4,3,3,4,3,3,3,4,2,5,4,5,,,,,,,,,,,,,,,
3/27/2020 13:16:46,Thai,3,3,4,5,2,4,4,4,4,3,4,4,8,,,,,,,,,,,,,,,
3/27/2020 13:32:34,Thai,4,1,5,4,1,5,5,1,5,5,1,5,10,,,,,,,,,,,,,,,
3/27/2020 13:42:32,English,2,4,2,3,4,2,1,5,1,2,4,1,3,-,,,,,,,,,,,,,,
3/27/2020 14:21:15,Thai,4,2,5,5,1,5,5,2,5,5,3,5,10,-อยากให้ลบไฟล์เก่าถ้าส่งผิดได้ -อยากให้มีแจ้งเตือนเวลาอาจารย์ลงประกาศต่างๆ,,,,,,,,,,,,,,
3/27/2020 14:30:03,Thai,2,5,4,3,5,4,3,4,3,4,5,4,6,User Interface โดยรวมรู้สึกว่ายัง deliver bad User Experience อยู่กับการที่ต้องให้ user ไปขุดคุ้ยหาหลายๆสิ่งหลายๆอย่างเอง ควร centralize ทุกอย่างที่จำเป็นกับสถานการณ์ปัจจุบันของวิชานั้นๆไว้ที่หน้าโฮมและจัดเรียง User dashboard ให้เป็นระบบกว่านี้ + ควรมี notification features เสริมเข้ามาด้วย,,,,,,,,,,,,,,
3/27/2020 14:41:56,English,3,3,3,3,3,3,3,3,3,4,4,2,4,,,,,,,,,,,,,,,
3/27/2020 14:51:02,English,3,2,5,4,2,4,5,1,4,3,3,4,8,It would be great if the file uploading system allows you to upload multiple file before summiting. Right now we would have to do it one by one,,,,,,,,,,,,,,
3/27/2020 15:01:09,Thai,2,3,2,4,5,3,4,3,4,1,5,1,7,ระบบส่งงานควรออกแบบให้สามารถอัพโหลดไฟล์ได้มากกว่า 1 ไฟล์ ก่อนกด submit,,,,,,,,,,,,,,
3/27/2020 15:07:29,Thai,3,2,4,3,3,4,4,2,4,4,2,4,8,,,,,,,,,,,,,,,
3/27/2020 15:11:40,Thai,4,1,5,5,1,5,5,1,5,5,1,5,10,บางเอกสารที่เปิดจาก courseville บังคับให้ download แต่บางครั้งแค่อยากเปิดไฟล์ดูเฉยๆ (ใน ipad),,,,,,,,,,,,,,
3/27/2020 16:41:49,Thai,4,1,5,5,3,5,5,2,5,5,3,4,6,,,,,,,,,,,,,,,
3/27/2020 16:46:29,Thai,4,3,4,5,2,4,4,3,4,3,4,3,7,,,,,,,,,,,,,,,
3/27/2020 17:15:01,Thai,3,2,4,5,2,4,3,4,4,3,3,2,7,น่าจะส่งได้ทีละหลายไฟล์ครับ ไม่ชอบที่ refresh แล้วกลับไปหน้าแรกที่สุดแล้วครับ 5555,,,,,,,,,,,,,,
3/27/2020 18:10:42,English,4,1,4,4,1,4,5,1,4,5,1,5,9,,,,,,,,,,,,,,,
3/27/2020 21:03:15,Thai,2,3,4,4,2,4,5,2,4,3,5,3,8,,,,,,,,,,,,,,,
3/28/2020 0:26:38,Thai,2,4,3,2,4,3,3,2,4,2,3,2,7,,,,,,,,,,,,,,,
3/28/2020 18:50:53,Thai,3,3,5,4,2,5,4,4,5,4,5,3,8,ส่งไฟล์ผิดไม่สามารถลบได้,,,,,,,,,,,,,,
