Part,Question,Score,Type
Part 4,Question 3,0.0,Passive
Part 4,Question 3,3.75,Passive
Part 4,Question 3,5.0,Promoter
Part 4,Question 3,3.75,Detractor
Part 4,Question 3,2.5,Passive
Part 4,Question 3,1.25,Passive
Part 4,Question 3,5.0,Promoter
Part 4,Question 3,2.5,Passive
Part 4,Question 3,1.25,Passive
Part 4,Question 3,2.5,Passive
